company,layoff_date,jobs_cut,pct_workforce_cut,sector,country,hq_city,ai_cited,reason_stated,company_revenue_2025_bn,pre_layoff_headcount,stock_change_day_pct,simultaneous_ai_investment_bn,roles_most_affected,replacement_roles,ceo_quote,layoffs_2024,layoffs_2025,verified_source,month,quarter,region,layoff_size_category,stock_reaction,laid_off_vs_headcount_pct,data_as_of
Amazon,2026-01-15,16000,2.7,E-Commerce/Cloud,USA,Seattle,False,Reduce bureaucracy and management layers,716.9,1550000,1.2,100.0,"Middle management, program managers","AI engineers, data architects",Moving faster with fewer layers,4000,14000,CNBC / NetworkWorld,January 2026,Q1 2026,North America,Mega (5K+),Positive,1.03,"March 18, 2026"
Block,2026-02-28,4000,40.0,Fintech,USA,San Francisco,True,AI tools replace roles enabling smaller teams,22.4,10000,5.8,2.0,"QA testers, customer support, content","AI prompt engineers, ML engineers",Smaller team using AI can do more,0,1000,CNBC / Crunchbase,February 2026,Q1 2026,North America,Large (2K-5K),Positive,40.0,"March 18, 2026"
Meta Reality Labs,2026-01-20,1500,10.0,Social Media/VR,USA,Menlo Park,True,Pivot from metaverse to AI research,164.5,79000,2.1,115.0,"VR/AR engineers, metaverse designers","AI researchers, LLM engineers",Redirecting investment toward AI R&D,0,500,InformationWeek / NYT,January 2026,Q1 2026,North America,Medium (500-2K),Positive,1.9,"March 18, 2026"
Atlassian,2026-03-14,1600,10.0,Enterprise Software,Australia,Sydney,True,Pivot to AI-first company strategy,5.1,16000,2.0,0.5,"R&D engineers, QA, IT ops","AI product managers, enterprise sales",Bar for great software companies has gone up,0,500,TechRepublic / Metaintro,March 2026,Q1 2026,Asia-Pacific,Medium (500-2K),Positive,10.0,"March 18, 2026"
Oracle,2026-02-01,30000,15.0,Enterprise Software,USA,Austin,True,AI data centres replace human ops,52.9,200000,3.5,40.0,"IT operations, database admins, support","AI infrastructure engineers, GPU specialists",Swapping workers for AI chips,6000,10000,IBTimes,February 2026,Q1 2026,North America,Mega (5K+),Positive,15.0,"March 18, 2026"
Salesforce,2026-01-10,1000,1.4,CRM/SaaS,USA,San Francisco,True,AI-driven efficiency and restructuring,37.9,72000,0.8,5.0,"Sales support, Tier-1 customer service",Agentforce AI specialists,AI handles routine tasks at scale,1000,1000,NetworkWorld / Bloomberg,January 2026,Q1 2026,North America,Medium (500-2K),Positive,1.39,"March 18, 2026"
Autodesk,2026-01-25,1000,9.0,Design Software,USA,San Francisco,False,Post-Ansys acquisition restructuring,5.9,11000,1.5,0.3,Overlapping roles from merger,Cloud integration engineers,Realignment after Ansys acquisition,500,1200,NetworkWorld,January 2026,Q1 2026,North America,Medium (500-2K),Positive,9.09,"March 18, 2026"
eBay,2026-01-28,800,5.0,E-Commerce,USA,San Jose,True,AI-forward strategy in customer ops,10.3,11000,1.2,0.8,"Content moderation, customer support",AI content reviewers,AI handles majority of support tickets,1000,1000,NetworkWorld,January 2026,Q1 2026,North America,Medium (500-2K),Positive,7.27,"March 18, 2026"
Pinterest,2026-02-10,675,4.0,Social Media,USA,San Francisco,True,AI-forward content and marketing strategy,3.6,3700,2.2,0.4,"Content moderation, marketing roles",AI content specialists,Investing in AI-native workflows,1500,200,NetworkWorld,February 2026,Q1 2026,North America,Medium (500-2K),Positive,18.24,"March 18, 2026"
Ericsson,2026-01-15,1600,12.0,Telecommunications,Sweden,Stockholm,False,Declining 5G demand and cost reduction,24.3,105000,0.5,0.2,"Network engineers, R&D staff",None announced,Operational efficiency initiatives,3000,5000,InformationWeek / FierceNetwork,January 2026,Q1 2026,Europe,Medium (500-2K),Positive,1.52,"March 18, 2026"
ASML,2026-01-20,1700,3.4,Semiconductors,Netherlands,Veldhoven,False,Chip market slowdown,30.8,42000,-1.2,0.0,"Manufacturing support, admin roles",None announced,Aligning workforce with market demand,0,0,NetworkWorld,January 2026,Q1 2026,Europe,Medium (500-2K),Negative,4.05,"March 18, 2026"
ams OSRAM,2026-02-05,2000,12.0,Semiconductors,Austria,Premstaetten,False,Cost restructuring and portfolio focus,3.2,21000,0.8,0.0,"Manufacturing, engineering support",None announced,Restructuring to improve profitability,0,500,NetworkWorld,February 2026,Q1 2026,Europe,Medium (500-2K),Positive,9.52,"March 18, 2026"
Ocado,2026-01-30,1000,7.0,Grocery Tech,UK,Hatfield,True,AI automation in warehouse operations,3.8,14000,1.1,0.5,"Warehouse supervisors, logistics","Robotics engineers, AI ops",AI-driven warehouse automation,0,0,NetworkWorld,January 2026,Q1 2026,Europe,Medium (500-2K),Positive,7.14,"March 18, 2026"
WiseTech Global,2026-02-20,2000,25.0,Logistics Software,Australia,Sydney,True,AI replaces QA and testing teams,3.2,8000,3.2,0.3,"QA engineers, manual testers",AI test automation engineers,AI tools handle testing workflows,0,0,Medha Cloud,February 2026,Q1 2026,Asia-Pacific,Medium (500-2K),Positive,25.0,"March 18, 2026"
Cisco,2026-02-15,6000,7.0,Networking/Cybersecurity,USA,San Jose,False,Restructuring after Splunk acquisition,56.9,85000,-0.5,2.0,Overlapping roles post-acquisition,Security AI specialists,Realigning global workforce,4200,6000,Computerworld,February 2026,Q1 2026,North America,Mega (5K+),Negative,7.06,"March 18, 2026"
T-Mobile,2026-02-02,363,0.1,Telecommunications,USA,Bellevue,False,Restructuring sales teams,80.0,71000,-0.3,0.0,Sales representatives,None announced,Reorganizing under new CEO,0,5000,FierceNetwork,February 2026,Q1 2026,North America,Small (<500),Negative,0.51,"March 18, 2026"
SK Battery America,2026-03-16,958,37.3,EV Batteries,USA,Commerce GA,False,Slowing EV demand,8.4,2566,-2.1,0.0,Battery production workers,None announced,EV market slowdown,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,37.33,"March 18, 2026"
Walgreens,2026-03-11,1000,0.5,Retail Pharmacy,USA,Deerfield IL,False,Store closures and cost restructuring,140.0,315000,-0.8,0.0,"Pharmacy staff, store associates",None announced,Streamlining operations,3000,2000,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,0.32,"March 18, 2026"
Telefonica,2026-01-15,5000,5.0,Telecommunications,Spain,Madrid,False,Cost restructuring with compensation,44.5,100000,0.4,0.0,Legacy network operations,Digital roles,Voluntary redundancy offered,0,3000,FierceNetwork,January 2026,Q1 2026,Europe,Large (2K-5K),Positive,5.0,"March 18, 2026"
xAI,2026-02-25,50,2.0,AI Research,USA,San Francisco,True,Internal reorganization,0.0,2500,0.0,6.0,"Senior engineers, co-founders",None announced,Reorganization confirmed by Musk,0,0,TechCrunch,February 2026,Q1 2026,North America,Small (<500),Neutral,2.0,"March 18, 2026"
Palo Alto Networks,2026-02-18,500,2.0,Cybersecurity,USA,Santa Clara,False,Post-CyberArk acquisition overlap,8.0,15000,0.5,0.5,Overlapping roles from merger,None announced,Eliminating post-acquisition redundancies,0,500,InformationWeek,February 2026,Q1 2026,North America,Small (<500),Positive,3.33,"March 18, 2026"
Livspace,2026-02-10,1000,15.0,Interior Design Tech,India,Bangalore,True,AI design tools replace human designers,0.3,7000,0.0,0.1,"Interior designers, project managers",AI design specialists,AI-driven design automation,0,0,Medha Cloud,February 2026,Q1 2026,Asia-Pacific,Medium (500-2K),Neutral,14.29,"March 18, 2026"
General Motors Tech,2026-01-22,1000,2.0,Automotive Tech,USA,Detroit,False,Rethinking digital transformation,180.0,150000,-0.4,3.0,"Software engineers, digital staff",None announced,Moving resources to highest-priority work,500,1500,Computerworld,January 2026,Q1 2026,North America,Medium (500-2K),Negative,0.67,"March 18, 2026"
Workday,2026-01-28,2200,8.5,Enterprise SaaS,USA,Pleasanton CA,True,AI investment and office space reduction,8.5,25800,1.8,1.5,"Customer service, admin roles",AI success managers,Investing more in AI and international,1750,1750,Computerworld,January 2026,Q1 2026,North America,Large (2K-5K),Positive,8.53,"March 18, 2026"
Ergo Insurance,2026-03-01,200,2.0,Insurance,Germany,Dusseldorf,True,AI automates insurance tasks,0.0,9000,0.0,0.2,"Claims processors, underwriters",AI system trainers,AI automates traditional insurance tasks,0,0,Intellizence,March 2026,Q1 2026,Europe,Small (<500),Neutral,2.22,"March 18, 2026"
Algoma Steel,2026-03-07,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure,2.8,5000,-1.5,0.0,Steel production workers,None announced,Closing blast furnace operations,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026"
Meta Platforms (Planned),2026-03-13,16000,20.0,Social Media/AI,USA,Menlo Park,True,Offset AI infrastructure costs,164.5,79000,3.0,115.0,"Engineering, middle management, ops","AI engineers, GPU infrastructure",Building personal superintelligence,0,0,CNBC / Reuters / IBTimes,March 2026,Q1 2026,North America,Mega (5K+),Positive,20.25,"March 18, 2026"
Algoma Steel,2026-03-23,1000,20.0,Manufacturing,Canada,Sault Ste Marie,False,Blast furnace closure effective,2.8,5000,-1.5,0.0,Steel workers,None announced,Effective layoff date per filing,0,0,Intellizence,March 2026,Q1 2026,North America,Medium (500-2K),Negative,20.0,"March 18, 2026"
